,name,date,rbirth,rdeath,rnaturalinc
346,West Region,20170701,12.292047544,7.2491592445,5.0428882995
348,Alaska,20170701,14.58725482,6.0263739944,8.5608808255
349,Arizona,20170701,11.872795865,8.0561569902,3.8166388751
351,California,20170701,12.274797367,6.7555282026,5.5192691648
352,Colorado,20170701,11.725300643,6.7620234775,4.9632771655
358,Hawaii,20170701,12.580155627,7.9222932223,4.6578624044
359,Idaho,20170701,13.193748998,8.0509515175,5.1427974807
373,Montana,20170701,11.650275803,9.8025118698,1.8477639333
375,Nevada,20170701,12.281000933,8.3241216768,3.9568792561
378,New Mexico,20170701,11.536510611,8.8573590852,2.6791515255
384,Oregon,20170701,10.86061858,8.9465107673,1.9141078126
391,Utah,20170701,16.201116409,5.8151592649,10.385957144
394,Washington,20170701,12.192307272,7.6180857993,4.5742214722
397,Wyoming,20170701,12.344108134,8.1743822358,4.1697258986
399,United States,20180701,11.737545564,8.6680952767,3.0694502875
403,West Region,20180701,11.828722549,7.4338514711,4.3948710776
405,Alaska,20180701,13.945929013,6.32475816,7.6211708532
406,Arizona,20180701,11.514831117,8.4673798792,3.047451238
408,California,20180701,11.799454416,7.0433316584,4.7561227573
409,Colorado,20180701,11.411663912,6.8104776252,4.6011862865
415,Hawaii,20180701,12.07246714,8.7550518702,3.3174152702
416,Idaho,20180701,12.717649328,7.7566473707,4.9610019575
430,Montana,20180701,10.93345612,9.1484406906,1.7850154296
432,Nevada,20180701,11.905464608,8.3858491047,3.5196155035
435,New Mexico,20180701,11.185976903,8.8774711586,2.3085057444
441,Oregon,20180701,10.431792115,8.6913584043,1.7404337103
448,Utah,20180701,15.460320993,5.6582427759,9.8020782171
451,Washington,20180701,11.686177861,7.7216977512,3.9644801101
454,Wyoming,20180701,11.610573681,8.1830852929,3.4274883877
456,United States,20190701,11.579036629,8.6575691523,2.9214674764
460,West Region,20190701,11.722022822,7.4844178034,4.2376050191
462,Alaska,20190701,13.678474709,6.5712859757,7.1071887332
463,Arizona,20190701,11.351869511,8.3845793175,2.9672901938
465,California,20190701,11.715706616,7.1547769171,4.5609296986
466,Colorado,20190701,11.270545046,6.8324753583,4.4380696877
472,Hawaii,20190701,11.900728548,8.9886531299,2.9120754178
473,Idaho,20190701,12.562185504,7.523742785,5.0384427187
487,Montana,20190701,10.911773642,9.2700297683,1.6417438739
489,Nevada,20190701,11.766522358,8.3864142709,3.3801080868
492,New Mexico,20190701,11.039319071,8.7779891492,2.2613299217
498,Oregon,20190701,10.311177061,8.7058669181,1.6053101431
505,Utah,20190701,15.2974098,5.485644487,9.8117653127
508,Washington,20190701,11.619179957,7.7399988189,3.8791811378
511,Wyoming,20190701,11.416859801,8.5976685461,2.8191912553
